State,Crime_Type,Year,Cases,unemployment_rate,poverty_rate,per_capita_income,inflation_rate,population_density,gender_ratio,literacy_rate,youth_population_percent,urbanization_rate,human_development_index,police_stations_per_district,conviction_rate,police_personnel_per_100k,alcohol_consumption_per_capita
Andaman & Nicobar Islands,Burglary,2003,54,5.75,36.41,22868.34,2.43,17,912,62.32,27.96,24.8,0.543,5,42.2,64,2.18
Andaman & Nicobar Islands,Dacoity,2003,0,5.75,36.41,22868.34,2.43,17,912,62.32,27.96,24.8,0.543,5,42.2,64,2.18
Andaman & Nicobar Islands,Dowry Deaths,2003,1,5.75,36.41,22868.34,2.43,17,912,62.32,27.96,24.8,0.543,5,42.2,64,2.18
Andaman & Nicobar Islands,Kidnapping & Abduction,2003,10,5.75,36.41,22868.34,2.43,17,912,62.32,27.96,24.8,0.543,5,42.2,64,2.18
Andaman & Nicobar Islands,Murder,2003,0,5.75,36.41,22868.34,2.43,17,912,62.32,27.96,24.8,0.543,5,42.2,64,2.18
Andaman & Nicobar Islands,Rape,2003,2,5.75,36.41,22868.34,2.43,17,912,62.32,27.96,24.8,0.543,5,42.2,64,2.18
Andaman & Nicobar Islands,Riots,2003,0,5.75,36.41,22868.34,2.43,17,912,62.32,27.96,24.8,0.543,5,42.2,64,2.18
Andaman & Nicobar Islands,Robbery,2003,24,5.75,36.41,22868.34,2.43,17,912,62.32,27.96,24.8,0.543,5,42.2,64,2.18
Andaman & Nicobar Islands,Theft,2003,231,5.75,36.41,22868.34,2.43,17,912,62.32,27.96,24.8,0.543,5,42.2,64,2.18
Andaman & Nicobar Islands,Burglary,2004,36,5.98,37.11,23056.59,5.83,14,910,62.38,27.94,23.2,0.548,7,41.3,57,2.06
Andaman & Nicobar Islands,Dacoity,2004,0,5.98,37.11,23056.59,5.83,14,910,62.38,27.94,23.2,0.548,7,41.3,57,2.06
Andaman & Nicobar Islands,Dowry Deaths,2004,4,5.98,37.11,23056.59,5.83,14,910,62.38,27.94,23.2,0.548,7,41.3,57,2.06
Andaman & Nicobar Islands,Kidnapping & Abduction,2004,0,5.98,37.11,23056.59,5.83,14,910,62.38,27.94,23.2,0.548,7,41.3,57,2.06
Andaman & Nicobar Islands,Murder,2004,0,5.98,37.11,23056.59,5.83,14,910,62.38,27.94,23.2,0.548,7,41.3,57,2.06
Andaman & Nicobar Islands,Rape,2004,11,5.98,37.11,23056.59,5.83,14,910,62.38,27.94,23.2,0.548,7,41.3,57,2.06
Andaman & Nicobar Islands,Riots,2004,2,5.98,37.11,23056.59,5.83,14,910,62.38,27.94,23.2,0.548,7,41.3,57,2.06
Andaman & Nicobar Islands,Robbery,2004,0,5.98,37.11,23056.59,5.83,14,910,62.38,27.94,23.2,0.548,7,41.3,57,2.06
Andaman & Nicobar Islands,Theft,2004,391,5.98,37.11,23056.59,5.83,14,910,62.38,27.94,23.2,0.548,7,41.3,57,2.06
Andaman & Nicobar Islands,Burglary,2005,54,5.7,35.07,23480.14,5.63,17,913,62.52,23.92,24.6,0.553,5,36.4,61,2.59
Andaman & Nicobar Islands,Dacoity,2005,4,5.7,35.07,23480.14,5.63,17,913,62.52,23.92,24.6,0.553,5,36.4,61,2.59
Andaman & Nicobar Islands,Dowry Deaths,2005,0,5.7,35.07,23480.14,5.63,17,913,62.52,23.92,24.6,0.553,5,36.4,61,2.59
Andaman & Nicobar Islands,Kidnapping & Abduction,2005,3,5.7,35.07,23480.14,5.63,17,913,62.52,23.92,24.6,0.553,5,36.4,61,2.59
Andaman & Nicobar Islands,Murder,2005,2,5.7,35.07,23480.14,5.63,17,913,62.52,23.92,24.6,0.553,5,36.4,61,2.59
Andaman & Nicobar Islands,Rape,2005,0,5.7,35.07,23480.14,5.63,17,913,62.52,23.92,24.6,0.553,5,36.4,61,2.59
Andaman & Nicobar Islands,Riots,2005,2,5.7,35.07,23480.14,5.63,17,913,62.52,23.92,24.6,0.553,5,36.4,61,2.59
Andaman & Nicobar Islands,Robbery,2005,12,5.7,35.07,23480.14,5.63,17,913,62.52,23.92,24.6,0.553,5,36.4,61,2.59
Andaman & Nicobar Islands,Theft,2005,372,5.7,35.07,23480.14,5.63,17,913,62.52,23.92,24.6,0.553,5,36.4,61,2.59
Andaman & Nicobar Islands,Burglary,2006,42,6.38,35.26,23903.7,4.56,13,915,62.65,26.9,22.0,0.549,8,43.5,77,2.23
Andaman & Nicobar Islands,Dacoity,2006,0,6.38,35.26,23903.7,4.56,13,915,62.65,26.9,22.0,0.549,8,43.5,77,2.23
Andaman & Nicobar Islands,Dowry Deaths,2006,1,6.38,35.26,23903.7,4.56,13,915,62.65,26.9,22.0,0.549,8,43.5,77,2.23
Andaman & Nicobar Islands,Kidnapping & Abduction,2006,23,6.38,35.26,23903.7,4.56,13,915,62.65,26.9,22.0,0.549,8,43.5,77,2.23
Andaman & Nicobar Islands,Murder,2006,0,6.38,35.26,23903.7,4.56,13,915,62.65,26.9,22.0,0.549,8,43.5,77,2.23
Andaman & Nicobar Islands,Rape,2006,0,6.38,35.26,23903.7,4.56,13,915,62.65,26.9,22.0,0.549,8,43.5,77,2.23
Andaman & Nicobar Islands,Riots,2006,14,6.38,35.26,23903.7,4.56,13,915,62.65,26.9,22.0,0.549,8,43.5,77,2.23
Andaman & Nicobar Islands,Robbery,2006,0,6.38,35.26,23903.7,4.56,13,915,62.65,26.9,22.0,0.549,8,43.5,77,2.23
Andaman & Nicobar Islands,Theft,2006,276,6.38,35.26,23903.7,4.56,13,915,62.65,26.9,22.0,0.549,8,43.5,77,2.23
Andaman & Nicobar Islands,Burglary,2007,63,4.93,35.21,24609.62,4.86,13,911,62.88,23.88,27.4,0.54,6,37.6,76,2.36
Andaman & Nicobar Islands,Dacoity,2007,8,4.93,35.21,24609.62,4.86,13,911,62.88,23.88,27.4,0.54,6,37.6,76,2.36
Andaman & Nicobar Islands,Dowry Deaths,2007,14,4.93,35.21,24609.62,4.86,13,911,62.88,23.88,27.4,0.54,6,37.6,76,2.36
Andaman & Nicobar Islands,Kidnapping & Abduction,2007,16,4.93,35.21,24609.62,4.86,13,911,62.88,23.88,27.4,0.54,6,37.6,76,2.36
Andaman & Nicobar Islands,Murder,2007,0,4.93,35.21,24609.62,4.86,13,911,62.88,23.88,27.4,0.54,6,37.6,76,2.36
Andaman & Nicobar Islands,Rape,2007,21,4.93,35.21,24609.62,4.86,13,911,62.88,23.88,27.4,0.54,6,37.6,76,2.36
Andaman & Nicobar Islands,Riots,2007,0,4.93,35.21,24609.62,4.86,13,911,62.88,23.88,27.4,0.54,6,37.6,76,2.36
Andaman & Nicobar Islands,Robbery,2007,4,4.93,35.21,24609.62,4.86,13,911,62.88,23.88,27.4,0.54,6,37.6,76,2.36
Andaman & Nicobar Islands,Theft,2007,206,4.93,35.21,24609.62,4.86,13,911,62.88,23.88,27.4,0.54,6,37.6,76,2.36
Andaman & Nicobar Islands,Burglary,2008,52,5.32,36.5,24750.81,2.76,17,909,62.93,25.86,24.8,0.556,5,37.7,65,2.49
Andaman & Nicobar Islands,Dacoity,2008,29,5.32,36.5,24750.81,2.76,17,909,62.93,25.86,24.8,0.556,5,37.7,65,2.49
Andaman & Nicobar Islands,Dowry Deaths,2008,20,5.32,36.5,24750.81,2.76,17,909,62.93,25.86,24.8,0.556,5,37.7,65,2.49
Andaman & Nicobar Islands,Kidnapping & Abduction,2008,58,5.32,36.5,24750.81,2.76,17,909,62.93,25.86,24.8,0.556,5,37.7,65,2.49
Andaman & Nicobar Islands,Murder,2008,1,5.32,36.5,24750.81,2.76,17,909,62.93,25.86,24.8,0.556,5,37.7,65,2.49
Andaman & Nicobar Islands,Rape,2008,14,5.32,36.5,24750.81,2.76,17,909,62.93,25.86,24.8,0.556,5,37.7,65,2.49
Andaman & Nicobar Islands,Riots,2008,2,5.32,36.5,24750.81,2.76,17,909,62.93,25.86,24.8,0.556,5,37.7,65,2.49
Andaman & Nicobar Islands,Robbery,2008,4,5.32,36.5,24750.81,2.76,17,909,62.93,25.86,24.8,0.556,5,37.7,65,2.49
Andaman & Nicobar Islands,Theft,2008,587,5.32,36.5,24750.81,2.76,17,909,62.93,25.86,24.8,0.556,5,37.7,65,2.49
Andaman & Nicobar Islands,Burglary,2009,41,5.58,39.23,25268.49,6.18,10,913,63.09,26.84,26.2,0.573,7,36.8,69,2.38
Andaman & Nicobar Islands,Dacoity,2009,13,5.58,39.23,25268.49,6.18,10,913,63.09,26.84,26.2,0.573,7,36.8,69,2.38
Andaman & Nicobar Islands,Dowry Deaths,2009,3,5.58,39.23,25268.49,6.18,10,913,63.09,26.84,26.2,0.573,7,36.8,69,2.38
Andaman & Nicobar Islands,Kidnapping & Abduction,2009,18,5.58,39.23,25268.49,6.18,10,913,63.09,26.84,26.2,0.573,7,36.8,69,2.38
Andaman & Nicobar Islands,Murder,2009,2,5.58,39.23,25268.49,6.18,10,913,63.09,26.84,26.2,0.573,7,36.8,69,2.38
Andaman & Nicobar Islands,Rape,2009,9,5.58,39.23,25268.49,6.18,10,913,63.09,26.84,26.2,0.573,7,36.8,69,2.38
Andaman & Nicobar Islands,Riots,2009,6,5.58,39.23,25268.49,6.18,10,913,63.09,26.84,26.2,0.573,7,36.8,69,2.38
Andaman & Nicobar Islands,Robbery,2009,0,5.58,39.23,25268.49,6.18,10,913,63.09,26.84,26.2,0.573,7,36.8,69,2.38
Andaman & Nicobar Islands,Theft,2009,394,5.58,39.23,25268.49,6.18,10,913,63.09,26.84,26.2,0.573,7,36.8,69,2.38
Andaman & Nicobar Islands,Burglary,2010,94,4.84,34.57,25739.1,3.04,10,905,63.25,27.82,25.6,0.564,7,38.9,82,2.33
Andaman & Nicobar Islands,Dacoity,2010,10,4.84,34.57,25739.1,3.04,10,905,63.25,27.82,25.6,0.564,7,38.9,82,2.33
Andaman & Nicobar Islands,Dowry Deaths,2010,2,4.84,34.57,25739.1,3.04,10,905,63.25,27.82,25.6,0.564,7,38.9,82,2.33
Andaman & Nicobar Islands,Kidnapping & Abduction,2010,38,4.84,34.57,25739.1,3.04,10,905,63.25,27.82,25.6,0.564,7,38.9,82,2.33
Andaman & Nicobar Islands,Murder,2010,0,4.84,34.57,25739.1,3.04,10,905,63.25,27.82,25.6,0.564,7,38.9,82,2.33
Andaman & Nicobar Islands,Rape,2010,0,4.84,34.57,25739.1,3.04,10,905,63.25,27.82,25.6,0.564,7,38.9,82,2.33
Andaman & Nicobar Islands,Riots,2010,0,4.84,34.57,25739.1,3.04,10,905,63.25,27.82,25.6,0.564,7,38.9,82,2.33
Andaman & Nicobar Islands,Robbery,2010,0,4.84,34.57,25739.1,3.04,10,905,63.25,27.82,25.6,0.564,7,38.9,82,2.33
Andaman & Nicobar Islands,Theft,2010,226,4.84,34.57,25739.1,3.04,10,905,63.25,27.82,25.6,0.564,7,38.9,82,2.33
Andaman & Nicobar Islands,Burglary,2011,51,5.06,36.29,26162.66,6.35,13,906,63.38,26.8,24.0,0.573,8,43.0,81,2.44
Andaman & Nicobar Islands,Dacoity,2011,0,5.06,36.29,26162.66,6.35,13,906,63.38,26.8,24.0,0.573,8,43.0,81,2.44
Andaman & Nicobar Islands,Dowry Deaths,2011,0,5.06,36.29,26162.66,6.35,13,906,63.38,26.8,24.0,0.573,8,43.0,81,2.44
Andaman & Nicobar Islands,Kidnapping & Abduction,2011,28,5.06,36.29,26162.66,6.35,13,906,63.38,26.8,24.0,0.573,8,43.0,81,2.44
Andaman & Nicobar Islands,Murder,2011,2,5.06,36.29,26162.66,6.35,13,906,63.38,26.8,24.0,0.573,8,43.0,81,2.44
Andaman & Nicobar Islands,Rape,2011,19,5.06,36.29,26162.66,6.35,13,906,63.38,26.8,24.0,0.573,8,43.0,81,2.44
Andaman & Nicobar Islands,Riots,2011,21,5.06,36.29,26162.66,6.35,13,906,63.38,26.8,24.0,0.573,8,43.0,81,2.44
Andaman & Nicobar Islands,Robbery,2011,0,5.06,36.29,26162.66,6.35,13,906,63.38,26.8,24.0,0.573,8,43.0,81,2.44
Andaman & Nicobar Islands,Theft,2011,612,5.06,36.29,26162.66,6.35,13,906,63.38,26.8,24.0,0.573,8,43.0,81,2.44
Andaman & Nicobar Islands,Burglary,2012,43,5.33,36.34,26492.09,5.42,13,909,63.49,28.78,26.4,0.574,9,37.1,67,2.17
Andaman & Nicobar Islands,Dacoity,2012,0,5.33,36.34,26492.09,5.42,13,909,63.49,28.78,26.4,0.574,9,37.1,67,2.17
Andaman & Nicobar Islands,Dowry Deaths,2012,9,5.33,36.34,26492.09,5.42,13,909,63.49,28.78,26.4,0.574,9,37.1,67,2.17
Andaman & Nicobar Islands,Kidnapping & Abduction,2012,0,5.33,36.34,26492.09,5.42,13,909,63.49,28.78,26.4,0.574,9,37.1,67,2.17
Andaman & Nicobar Islands,Murder,2012,0,5.33,36.34,26492.09,5.42,13,909,63.49,28.78,26.4,0.574,9,37.1,67,2.17
Andaman & Nicobar Islands,Rape,2012,5,5.33,36.34,26492.09,5.42,13,909,63.49,28.78,26.4,0.574,9,37.1,67,2.17
Andaman & Nicobar Islands,Riots,2012,2,5.33,36.34,26492.09,5.42,13,909,63.49,28.78,26.4,0.574,9,37.1,67,2.17
Andaman & Nicobar Islands,Robbery,2012,0,5.33,36.34,26492.09,5.42,13,909,63.49,28.78,26.4,0.574,9,37.1,67,2.17
Andaman & Nicobar Islands,Theft,2012,402,5.33,36.34,26492.09,5.42,13,909,63.49,28.78,26.4,0.574,9,37.1,67,2.17
Andaman & Nicobar Islands,Burglary,2013,36,3.78,35.61,26821.52,5.86,16,908,63.59,28.76,28.8,0.588,9,35.2,88,2.53
Andaman & Nicobar Islands,Dacoity,2013,3,3.78,35.61,26821.52,5.86,16,908,63.59,28.76,28.8,0.588,9,35.2,88,2.53
Andaman & Nicobar Islands,Dowry Deaths,2013,0,3.78,35.61,26821.52,5.86,16,908,63.59,28.76,28.8,0.588,9,35.2,88,2.53
Andaman & Nicobar Islands,Kidnapping & Abduction,2013,43,3.78,35.61,26821.52,5.86,16,908,63.59,28.76,28.8,0.588,9,35.2,88,2.53
Andaman & Nicobar Islands,Murder,2013,0,3.78,35.61,26821.52,5.86,16,908,63.59,28.76,28.8,0.588,9,35.2,88,2.53
Andaman & Nicobar Islands,Rape,2013,0,3.78,35.61,26821.52,5.86,16,908,63.59,28.76,28.8,0.588,9,35.2,88,2.53
Andaman & Nicobar Islands,Riots,2013,0,3.78,35.61,26821.52,5.86,16,908,63.59,28.76,28.8,0.588,9,35.2,88,2.53
Andaman & Nicobar Islands,Robbery,2013,7,3.78,35.61,26821.52,5.86,16,908,63.59,28.76,28.8,0.588,9,35.2,88,2.53
Andaman & Nicobar Islands,Theft,2013,364,3.78,35.61,26821.52,5.86,16,908,63.59,28.76,28.8,0.588,9,35.2,88,2.53
Andaman & Nicobar Islands,Burglary,2014,75,5.16,35.2,27386.26,3.08,15,911,63.78,24.74,27.2,0.58,7,40.3,77,2.35
Andaman & Nicobar Islands,Dacoity,2014,1,5.16,35.2,27386.26,3.08,15,911,63.78,24.74,27.2,0.58,7,40.3,77,2.35
Andaman & Nicobar Islands,Dowry Deaths,2014,5,5.16,35.2,27386.26,3.08,15,911,63.78,24.74,27.2,0.58,7,40.3,77,2.35
Andaman & Nicobar Islands,Kidnapping & Abduction,2014,6,5.16,35.2,27386.26,3.08,15,911,63.78,24.74,27.2,0.58,7,40.3,77,2.35
Andaman & Nicobar Islands,Murder,2014,12,5.16,35.2,27386.26,3.08,15,911,63.78,24.74,27.2,0.58,7,40.3,77,2.35
Andaman & Nicobar Islands,Rape,2014,14,5.16,35.2,27386.26,3.08,15,911,63.78,24.74,27.2,0.58,7,40.3,77,2.35
Andaman & Nicobar Islands,Riots,2014,6,5.16,35.2,27386.26,3.08,15,911,63.78,24.74,27.2,0.58,7,40.3,77,2.35
Andaman & Nicobar Islands,Robbery,2014,0,5.16,35.2,27386.26,3.08,15,911,63.78,24.74,27.2,0.58,7,40.3,77,2.35
Andaman & Nicobar Islands,Theft,2014,276,5.16,35.2,27386.26,3.08,15,911,63.78,24.74,27.2,0.58,7,40.3,77,2.35
Andaman & Nicobar Islands,Burglary,2015,66,3.93,37.75,27762.76,5.58,11,904,63.9,26.72,26.6,0.588,9,37.4,90,2.54
Andaman & Nicobar Islands,Dacoity,2015,0,3.93,37.75,27762.76,5.58,11,904,63.9,26.72,26.6,0.588,9,37.4,90,2.54
Andaman & Nicobar Islands,Dowry Deaths,2015,15,3.93,37.75,27762.76,5.58,11,904,63.9,26.72,26.6,0.588,9,37.4,90,2.54
Andaman & Nicobar Islands,Kidnapping & Abduction,2015,0,3.93,37.75,27762.76,5.58,11,904,63.9,26.72,26.6,0.588,9,37.4,90,2.54
Andaman & Nicobar Islands,Murder,2015,11,3.93,37.75,27762.76,5.58,11,904,63.9,26.72,26.6,0.588,9,37.4,90,2.54
Andaman & Nicobar Islands,Rape,2015,0,3.93,37.75,27762.76,5.58,11,904,63.9,26.72,26.6,0.588,9,37.4,90,2.54
Andaman & Nicobar Islands,Riots,2015,6,3.93,37.75,27762.76,5.58,11,904,63.9,26.72,26.6,0.588,9,37.4,90,2.54
Andaman & Nicobar Islands,Robbery,2015,19,3.93,37.75,27762.76,5.58,11,904,63.9,26.72,26.6,0.588,9,37.4,90,2.54
Andaman & Nicobar Islands,Theft,2015,414,3.93,37.75,27762.76,5.58,11,904,63.9,26.72,26.6,0.588,9,37.4,90,2.54
Andaman & Nicobar Islands,Burglary,2016,87,3.45,36.1,28280.43,6.48,12,915,64.06,26.7,31.0,0.595,6,41.5,87,2.55
Andaman & Nicobar Islands,Dacoity,2016,18,3.45,36.1,28280.43,6.48,12,915,64.06,26.7,31.0,0.595,6,41.5,87,2.55
Andaman & Nicobar Islands,Dowry Deaths,2016,0,3.45,36.1,28280.43,6.48,12,915,64.06,26.7,31.0,0.595,6,41.5,87,2.55
Andaman & Nicobar Islands,Kidnapping & Abduction,2016,0,3.45,36.1,28280.43,6.48,12,915,64.06,26.7,31.0,0.595,6,41.5,87,2.55
Andaman & Nicobar Islands,Murder,2016,0,3.45,36.1,28280.43,6.48,12,915,64.06,26.7,31.0,0.595,6,41.5,87,2.55
Andaman & Nicobar Islands,Rape,2016,0,3.45,36.1,28280.43,6.48,12,915,64.06,26.7,31.0,0.595,6,41.5,87,2.55
Andaman & Nicobar Islands,Riots,2016,9,3.45,36.1,28280.43,6.48,12,915,64.06,26.7,31.0,0.595,6,41.5,87,2.55
Andaman & Nicobar Islands,Robbery,2016,0,3.45,36.1,28280.43,6.48,12,915,64.06,26.7,31.0,0.595,6,41.5,87,2.55
Andaman & Nicobar Islands,Theft,2016,333,3.45,36.1,28280.43,6.48,12,915,64.06,26.7,31.0,0.595,6,41.5,87,2.55
Andaman & Nicobar Islands,Burglary,2017,20,4.53,34.83,28751.05,6.28,10,913,64.22,24.68,31.4,0.613,9,35.6,81,2.59
Andaman & Nicobar Islands,Dacoity,2017,0,4.53,34.83,28751.05,6.28,10,913,64.22,24.68,31.4,0.613,9,35.6,81,2.59
Andaman & Nicobar Islands,Dowry Deaths,2017,0,4.53,34.83,28751.05,6.28,10,913,64.22,24.68,31.4,0.613,9,35.6,81,2.59
Andaman & Nicobar Islands,Kidnapping & Abduction,2017,17,4.53,34.83,28751.05,6.28,10,913,64.22,24.68,31.4,0.613,9,35.6,81,2.59
Andaman & Nicobar Islands,Murder,2017,20,4.53,34.83,28751.05,6.28,10,913,64.22,24.68,31.4,0.613,9,35.6,81,2.59
Andaman & Nicobar Islands,Rape,2017,15,4.53,34.83,28751.05,6.28,10,913,64.22,24.68,31.4,0.613,9,35.6,81,2.59
Andaman & Nicobar Islands,Riots,2017,5,4.53,34.83,28751.05,6.28,10,913,64.22,24.68,31.4,0.613,9,35.6,81,2.59
Andaman & Nicobar Islands,Robbery,2017,7,4.53,34.83,28751.05,6.28,10,913,64.22,24.68,31.4,0.613,9,35.6,81,2.59
Andaman & Nicobar Islands,Theft,2017,589,4.53,34.83,28751.05,6.28,10,913,64.22,24.68,31.4,0.613,9,35.6,81,2.59
Andaman & Nicobar Islands,Burglary,2018,97,3.91,38.34,28986.36,4.12,17,913,64.29,26.66,26.8,0.607,6,41.7,85,2.9
Andaman & Nicobar Islands,Dacoity,2018,0,3.91,38.34,28986.36,4.12,17,913,64.29,26.66,26.8,0.607,6,41.7,85,2.9
Andaman & Nicobar Islands,Dowry Deaths,2018,5,3.91,38.34,28986.36,4.12,17,913,64.29,26.66,26.8,0.607,6,41.7,85,2.9
Andaman & Nicobar Islands,Kidnapping & Abduction,2018,17,3.91,38.34,28986.36,4.12,17,913,64.29,26.66,26.8,0.607,6,41.7,85,2.9
Andaman & Nicobar Islands,Murder,2018,8,3.91,38.34,28986.36,4.12,17,913,64.29,26.66,26.8,0.607,6,41.7,85,2.9
Andaman & Nicobar Islands,Rape,2018,6,3.91,38.34,28986.36,4.12,17,913,64.29,26.66,26.8,0.607,6,41.7,85,2.9
Andaman & Nicobar Islands,Riots,2018,14,3.91,38.34,28986.36,4.12,17,913,64.29,26.66,26.8,0.607,6,41.7,85,2.9
Andaman & Nicobar Islands,Robbery,2018,5,3.91,38.34,28986.36,4.12,17,913,64.29,26.66,26.8,0.607,6,41.7,85,2.9
Andaman & Nicobar Islands,Theft,2018,574,3.91,38.34,28986.36,4.12,17,913,64.29,26.66,26.8,0.607,6,41.7,85,2.9
Andaman & Nicobar Islands,Burglary,2019,73,4.67,36.39,29551.1,6.31,15,910,64.47,26.64,29.2,0.627,7,35.8,80,2.69
Andaman & Nicobar Islands,Dacoity,2019,0,4.67,36.39,29551.1,6.31,15,910,64.47,26.64,29.2,0.627,7,35.8,80,2.69
Andaman & Nicobar Islands,Dowry Deaths,2019,0,4.67,36.39,29551.1,6.31,15,910,64.47,26.64,29.2,0.627,7,35.8,80,2.69
Andaman & Nicobar Islands,Kidnapping & Abduction,2019,32,4.67,36.39,29551.1,6.31,15,910,64.47,26.64,29.2,0.627,7,35.8,80,2.69
Andaman & Nicobar Islands,Murder,2019,34,4.67,36.39,29551.1,6.31,15,910,64.47,26.64,29.2,0.627,7,35.8,80,2.69
Andaman & Nicobar Islands,Rape,2019,0,4.67,36.39,29551.1,6.31,15,910,64.47,26.64,29.2,0.627,7,35.8,80,2.69
Andaman & Nicobar Islands,Riots,2019,11,4.67,36.39,29551.1,6.31,15,910,64.47,26.64,29.2,0.627,7,35.8,80,2.69
Andaman & Nicobar Islands,Robbery,2019,24,4.67,36.39,29551.1,6.31,15,910,64.47,26.64,29.2,0.627,7,35.8,80,2.69
Andaman & Nicobar Islands,Theft,2019,658,4.67,36.39,29551.1,6.31,15,910,64.47,26.64,29.2,0.627,7,35.8,80,2.69
Andaman & Nicobar Islands,Burglary,2020,47,6.3,32.34,30068.78,4.85,15,913,64.64,28.62,28.6,0.605,7,44.9,96,2.62
Andaman & Nicobar Islands,Dacoity,2020,1,6.3,32.34,30068.78,4.85,15,913,64.64,28.62,28.6,0.605,7,44.9,96,2.62
Andaman & Nicobar Islands,Dowry Deaths,2020,0,6.3,32.34,30068.78,4.85,15,913,64.64,28.62,28.6,0.605,7,44.9,96,2.62
Andaman & Nicobar Islands,Kidnapping & Abduction,2020,0,6.3,32.34,30068.78,4.85,15,913,64.64,28.62,28.6,0.605,7,44.9,96,2.62
Andaman & Nicobar Islands,Murder,2020,6,6.3,32.34,30068.78,4.85,15,913,64.64,28.62,28.6,0.605,7,44.9,96,2.62
Andaman & Nicobar Islands,Rape,2020,0,6.3,32.34,30068.78,4.85,15,913,64.64,28.62,28.6,0.605,7,44.9,96,2.62
Andaman & Nicobar Islands,Riots,2020,9,6.3,32.34,30068.78,4.85,15,913,64.64,28.62,28.6,0.605,7,44.9,96,2.62
Andaman & Nicobar Islands,Robbery,2020,11,6.3,32.34,30068.78,4.85,15,913,64.64,28.62,28.6,0.605,7,44.9,96,2.62
Andaman & Nicobar Islands,Theft,2020,181,6.3,32.34,30068.78,4.85,15,913,64.64,28.62,28.6,0.605,7,44.9,96,2.62
Andaman & Nicobar Islands,Burglary,2021,38,5.4,36.13,30445.27,4.0,10,906,64.76,28.6,32.0,0.616,7,36.0,83,2.75
Andaman & Nicobar Islands,Dacoity,2021,8,5.4,36.13,30445.27,4.0,10,906,64.76,28.6,32.0,0.616,7,36.0,83,2.75
Andaman & Nicobar Islands,Dowry Deaths,2021,10,5.4,36.13,30445.27,4.0,10,906,64.76,28.6,32.0,0.616,7,36.0,83,2.75
Andaman & Nicobar Islands,Kidnapping & Abduction,2021,0,5.4,36.13,30445.27,4.0,10,906,64.76,28.6,32.0,0.616,7,36.0,83,2.75
Andaman & Nicobar Islands,Murder,2021,11,5.4,36.13,30445.27,4.0,10,906,64.76,28.6,32.0,0.616,7,36.0,83,2.75
Andaman & Nicobar Islands,Rape,2021,11,5.4,36.13,30445.27,4.0,10,906,64.76,28.6,32.0,0.616,7,36.0,83,2.75
