State,Crime_Type,Year,Cases
Andhra Pradesh,Dacoity,2002,58
Andhra Pradesh,Dowry Deaths,2002,315
Andhra Pradesh,Kidnapping & Abduction,2002,126
Andhra Pradesh,Murder,2002,1767
Andhra Pradesh,Rape,2002,414
Andhra Pradesh,Riots,2002,437
Andhra Pradesh,Robbery,2002,372
Andhra Pradesh,Theft,2002,33330
Andhra Pradesh,Burglary,2003,5437
Andhra Pradesh,Dacoity,2003,26
Andhra Pradesh,Dowry Deaths,2003,313
Andhra Pradesh,Kidnapping & Abduction,2003,1017
Andhra Pradesh,Murder,2003,1776
Andhra Pradesh,Rape,2003,702
Andhra Pradesh,Riots,2003,355
Andhra Pradesh,Robbery,2003,1137
Andhra Pradesh,Theft,2003,0
Andhra Pradesh,Burglary,2004,3968
Andhra Pradesh,Dacoity,2004,35
Andhra Pradesh,Dowry Deaths,2004,539
Andhra Pradesh,Kidnapping & Abduction,2004,644
Andhra Pradesh,Murder,2004,1581
Andhra Pradesh,Rape,2004,943
Andhra Pradesh,Riots,2004,708
Andhra Pradesh,Robbery,2004,1285
Andhra Pradesh,Theft,2004,27139
Andhra Pradesh,Burglary,2005,6514
Andhra Pradesh,Dacoity,2005,0
Andhra Pradesh,Dowry Deaths,2005,382
Andhra Pradesh,Kidnapping & Abduction,2005,3927
Andhra Pradesh,Murder,2005,324
Andhra Pradesh,Rape,2005,523
Andhra Pradesh,Riots,2005,190
Andhra Pradesh,Robbery,2005,590
Andhra Pradesh,Theft,2005,9733
Andhra Pradesh,Burglary,2006,3298
Andhra Pradesh,Dacoity,2006,0
Andhra Pradesh,Dowry Deaths,2006,729
Andhra Pradesh,Kidnapping & Abduction,2006,1641
Andhra Pradesh,Murder,2006,465
Andhra Pradesh,Rape,2006,1026
Andhra Pradesh,Riots,2006,219
Andhra Pradesh,Robbery,2006,0
Andhra Pradesh,Theft,2006,17308
Andhra Pradesh,Burglary,2007,0
Andhra Pradesh,Dacoity,2007,26
Andhra Pradesh,Dowry Deaths,2007,218
Andhra Pradesh,Kidnapping & Abduction,2007,3897
Andhra Pradesh,Murder,2007,1134
Andhra Pradesh,Rape,2007,1693
Andhra Pradesh,Riots,2007,167
Andhra Pradesh,Robbery,2007,742
Andhra Pradesh,Theft,2007,39368
Andhra Pradesh,Burglary,2008,8596
Andhra Pradesh,Dacoity,2008,26
Andhra Pradesh,Dowry Deaths,2008,657
Andhra Pradesh,Kidnapping & Abduction,2008,1918
Andhra Pradesh,Murder,2008,1009
Andhra Pradesh,Rape,2008,686
Andhra Pradesh,Riots,2008,146
Andhra Pradesh,Robbery,2008,488
Andhra Pradesh,Theft,2008,14173
Andhra Pradesh,Burglary,2009,4233
Andhra Pradesh,Dacoity,2009,29
Andhra Pradesh,Dowry Deaths,2009,280
Andhra Pradesh,Kidnapping & Abduction,2009,689
Andhra Pradesh,Murder,2009,1098
Andhra Pradesh,Rape,2009,930
Andhra Pradesh,Riots,2009,411
Andhra Pradesh,Robbery,2009,256
Andhra Pradesh,Theft,2009,2713
Andhra Pradesh,Burglary,2010,1778
Andhra Pradesh,Dacoity,2010,43
Andhra Pradesh,Dowry Deaths,2010,230
Andhra Pradesh,Kidnapping & Abduction,2010,3283
Andhra Pradesh,Murder,2010,1280
Andhra Pradesh,Rape,2010,736
Andhra Pradesh,Riots,2010,185
Andhra Pradesh,Robbery,2010,924
Andhra Pradesh,Theft,2010,33722
Andhra Pradesh,Burglary,2011,6786
Andhra Pradesh,Dacoity,2011,28
Andhra Pradesh,Dowry Deaths,2011,890
Andhra Pradesh,Kidnapping & Abduction,2011,1147
Andhra Pradesh,Murder,2011,996
Andhra Pradesh,Rape,2011,1845
Andhra Pradesh,Riots,2011,242
Andhra Pradesh,Robbery,2011,575
Andhra Pradesh,Theft,2011,11008
Andhra Pradesh,Burglary,2012,4671
Andhra Pradesh,Dacoity,2012,59
Andhra Pradesh,Dowry Deaths,2012,551
Andhra Pradesh,Kidnapping & Abduction,2012,6042
Andhra Pradesh,Murder,2012,1126
Andhra Pradesh,Rape,2012,1665
Andhra Pradesh,Riots,2012,678
Andhra Pradesh,Robbery,2012,0
Andhra Pradesh,Theft,2012,6544
Andhra Pradesh,Burglary,2013,2735
Andhra Pradesh,Dacoity,2013,2
Andhra Pradesh,Dowry Deaths,2013,951
Andhra Pradesh,Kidnapping & Abduction,2013,3172
Andhra Pradesh,Murder,2013,1445
Andhra Pradesh,Rape,2013,1275
Andhra Pradesh,Riots,2013,315
Andhra Pradesh,Robbery,2013,0
Andhra Pradesh,Theft,2013,8157
Andhra Pradesh,Burglary,2014,2716
Andhra Pradesh,Dacoity,2014,0
Andhra Pradesh,Dowry Deaths,2014,787
Andhra Pradesh,Kidnapping & Abduction,2014,6320
Andhra Pradesh,Murder,2014,296
Andhra Pradesh,Rape,2014,1156
Andhra Pradesh,Riots,2014,373
Andhra Pradesh,Robbery,2014,806
Andhra Pradesh,Theft,2014,17525
Andhra Pradesh,Burglary,2015,4468
Andhra Pradesh,Dacoity,2015,40
Andhra Pradesh,Dowry Deaths,2015,470
Andhra Pradesh,Kidnapping & Abduction,2015,3680
Andhra Pradesh,Murder,2015,1072
Andhra Pradesh,Rape,2015,0
Andhra Pradesh,Riots,2015,1093
Andhra Pradesh,Robbery,2015,568
Andhra Pradesh,Theft,2015,20217
Andhra Pradesh,Burglary,2016,3205
Andhra Pradesh,Dacoity,2016,47
Andhra Pradesh,Dowry Deaths,2016,34
Andhra Pradesh,Kidnapping & Abduction,2016,4292
Andhra Pradesh,Murder,2016,1492
Andhra Pradesh,Rape,2016,154
Andhra Pradesh,Riots,2016,275
Andhra Pradesh,Robbery,2016,539
Andhra Pradesh,Theft,2016,38722
Andhra Pradesh,Burglary,2017,1746
Andhra Pradesh,Dacoity,2017,34
Andhra Pradesh,Dowry Deaths,2017,145
Andhra Pradesh,Kidnapping & Abduction,2017,3323
Andhra Pradesh,Murder,2017,791
Andhra Pradesh,Rape,2017,749
Andhra Pradesh,Riots,2017,219
Andhra Pradesh,Robbery,2017,538
Andhra Pradesh,Theft,2017,16480
Andhra Pradesh,Burglary,2018,4078
Andhra Pradesh,Dacoity,2018,0
Andhra Pradesh,Dowry Deaths,2018,824
Andhra Pradesh,Kidnapping & Abduction,2018,3752
Andhra Pradesh,Murder,2018,1300
Andhra Pradesh,Rape,2018,1714
Andhra Pradesh,Riots,2018,103
Andhra Pradesh,Robbery,2018,2986
Andhra Pradesh,Theft,2018,35528
Andhra Pradesh,Burglary,2019,6965
Andhra Pradesh,Dacoity,2019,26
Andhra Pradesh,Dowry Deaths,2019,467
Andhra Pradesh,Kidnapping & Abduction,2019,2145
Andhra Pradesh,Murder,2019,618
Andhra Pradesh,Rape,2019,592
Andhra Pradesh,Riots,2019,282
Andhra Pradesh,Robbery,2019,1104
Andhra Pradesh,Theft,2019,23999
Andhra Pradesh,Burglary,2020,6533
Andhra Pradesh,Dacoity,2020,45
Andhra Pradesh,Dowry Deaths,2020,755
Andhra Pradesh,Kidnapping & Abduction,2020,3038
Andhra Pradesh,Murder,2020,1152
Andhra Pradesh,Rape,2020,200
Andhra Pradesh,Riots,2020,278
Andhra Pradesh,Robbery,2020,2129
Andhra Pradesh,Theft,2020,11104
Andhra Pradesh,Burglary,2021,5330
Andhra Pradesh,Dacoity,2021,59
Andhra Pradesh,Dowry Deaths,2021,231
Andhra Pradesh,Kidnapping & Abduction,2021,2649
Andhra Pradesh,Murder,2021,670
Andhra Pradesh,Rape,2021,1272
Andhra Pradesh,Riots,2021,350
Andhra Pradesh,Robbery,2021,1346
Andhra Pradesh,Theft,2021,14749
Andhra Pradesh,Burglary,2022,3793
Andhra Pradesh,Dacoity,2022,2
Andhra Pradesh,Dowry Deaths,2022,553
Andhra Pradesh,Kidnapping & Abduction,2022,4997
Andhra Pradesh,Murder,2022,1034
Andhra Pradesh,Rape,2022,2994
Andhra Pradesh,Riots,2022,456
Andhra Pradesh,Robbery,2022,3363
Andhra Pradesh,Theft,2022,25032
Arunachal Pradesh,Burglary,2001,77
Arunachal Pradesh,Dacoity,2001,0
Arunachal Pradesh,Dowry Deaths,2001,16
Arunachal Pradesh,Kidnapping & Abduction,2001,111
Arunachal Pradesh,Murder,2001,5
Arunachal Pradesh,Rape,2001,49
Arunachal Pradesh,Riots,2001,99
Arunachal Pradesh,Robbery,2001,11
Arunachal Pradesh,Theft,2001,1083
Arunachal Pradesh,Burglary,2002,175
Arunachal Pradesh,Dacoity,2002,10
Arunachal Pradesh,Dowry Deaths,2002,3
Arunachal Pradesh,Kidnapping & Abduction,2002,54
Arunachal Pradesh,Murder,2002,51
Arunachal Pradesh,Rape,2002,76
Arunachal Pradesh,Riots,2002,17
Arunachal Pradesh,Robbery,2002,12
Arunachal Pradesh,Theft,2002,1159
Arunachal Pradesh,Burglary,2003,277
Arunachal Pradesh,Dacoity,2003,0
Arunachal Pradesh,Dowry Deaths,2003,3
Arunachal Pradesh,Kidnapping & Abduction,2003,120
Arunachal Pradesh,Murder,2003,95
Arunachal Pradesh,Rape,2003,76
Arunachal Pradesh,Riots,2003,68
Arunachal Pradesh,Robbery,2003,35
Arunachal Pradesh,Theft,2003,1950
Arunachal Pradesh,Burglary,2004,125
Arunachal Pradesh,Dacoity,2004,14
Arunachal Pradesh,Dowry Deaths,2004,20
Arunachal Pradesh,Kidnapping & Abduction,2004,124
Arunachal Pradesh,Murder,2004,37
Arunachal Pradesh,Rape,2004,125
Arunachal Pradesh,Riots,2004,58
Arunachal Pradesh,Robbery,2004,0
Arunachal Pradesh,Theft,2004,514
Arunachal Pradesh,Burglary,2005,259
Arunachal Pradesh,Dacoity,2005,11
Arunachal Pradesh,Dowry Deaths,2005,0
Arunachal Pradesh,Kidnapping & Abduction,2005,92
Arunachal Pradesh,Murder,2005,25
Arunachal Pradesh,Rape,2005,127
Arunachal Pradesh,Riots,2005,26
Arunachal Pradesh,Robbery,2005,15
Arunachal Pradesh,Theft,2005,2335
Arunachal Pradesh,Burglary,2006,270
Arunachal Pradesh,Dacoity,2006,0
Arunachal Pradesh,Dowry Deaths,2006,8
Arunachal Pradesh,Kidnapping & Abduction,2006,87
Arunachal Pradesh,Murder,2006,64
Arunachal Pradesh,Rape,2006,84
Arunachal Pradesh,Riots,2006,36
Arunachal Pradesh,Robbery,2006,40
Arunachal Pradesh,Theft,2006,496
Arunachal Pradesh,Burglary,2007,57
Arunachal Pradesh,Dacoity,2007,0
Arunachal Pradesh,Dowry Deaths,2007,0
Arunachal Pradesh,Kidnapping & Abduction,2007,37
Arunachal Pradesh,Murder,2007,14
Arunachal Pradesh,Rape,2007,79
Arunachal Pradesh,Riots,2007,34
Arunachal Pradesh,Robbery,2007,17
Arunachal Pradesh,Theft,2007,1122
Arunachal Pradesh,Burglary,2008,185
Arunachal Pradesh,Dacoity,2008,24
Arunachal Pradesh,Dowry Deaths,2008,15
Arunachal Pradesh,Kidnapping & Abduction,2008,128
Arunachal Pradesh,Murder,2008,0
Arunachal Pradesh,Rape,2008,51
Arunachal Pradesh,Riots,2008,38
Arunachal Pradesh,Robbery,2008,44
Arunachal Pradesh,Theft,2008,1951
Arunachal Pradesh,Burglary,2009,80
Arunachal Pradesh,Dacoity,2009,0
Arunachal Pradesh,Dowry Deaths,2009,0
Arunachal Pradesh,Kidnapping & Abduction,2009,35
Arunachal Pradesh,Murder,2009,36
Arunachal Pradesh,Rape,2009,54
Arunachal Pradesh,Riots,2009,68
Arunachal Pradesh,Robbery,2009,16
Arunachal Pradesh,Theft,2009,1543
Arunachal Pradesh,Burglary,2010,159
Arunachal Pradesh,Dacoity,2010,5
Arunachal Pradesh,Dowry Deaths,2010,20
Arunachal Pradesh,Kidnapping & Abduction,2010,104
Arunachal Pradesh,Murder,2010,14
Arunachal Pradesh,Rape,2010,42
Arunachal Pradesh,Riots,2010,99
Arunachal Pradesh,Robbery,2010,37
Arunachal Pradesh,Theft,2010,999
Arunachal Pradesh,Burglary,2011,165
Arunachal Pradesh,Dacoity,2011,0
Arunachal Pradesh,Dowry Deaths,2011,12
Arunachal Pradesh,Kidnapping & Abduction,2011,150
Arunachal Pradesh,Murder,2011,9
Arunachal Pradesh,Rape,2011,76
Arunachal Pradesh,Riots,2011,39
Arunachal Pradesh,Robbery,2011,10
Arunachal Pradesh,Theft,2011,1063
Arunachal Pradesh,Burglary,2012,251
Arunachal Pradesh,Dacoity,2012,11
Arunachal Pradesh,Dowry Deaths,2012,19
Arunachal Pradesh,Kidnapping & Abduction,2012,116
Arunachal Pradesh,Murder,2012,40
Arunachal Pradesh,Rape,2012,107
Arunachal Pradesh,Riots,2012,44
Arunachal Pradesh,Robbery,2012,35
Arunachal Pradesh,Theft,2012,1251
Arunachal Pradesh,Burglary,2013,26
Arunachal Pradesh,Dacoity,2013,7
Arunachal Pradesh,Dowry Deaths,2013,0
Arunachal Pradesh,Kidnapping & Abduction,2013,71
Arunachal Pradesh,Murder,2013,10
Arunachal Pradesh,Rape,2013,69
Arunachal Pradesh,Riots,2013,110
Arunachal Pradesh,Robbery,2013,1
Arunachal Pradesh,Theft,2013,1732
Arunachal Pradesh,Burglary,2014,83
Arunachal Pradesh,Dacoity,2014,0
Arunachal Pradesh,Dowry Deaths,2014,1
Arunachal Pradesh,Kidnapping & Abduction,2014,60
Arunachal Pradesh,Murder,2014,30
Arunachal Pradesh,Rape,2014,46
Arunachal Pradesh,Riots,2014,71
Arunachal Pradesh,Robbery,2014,44
Arunachal Pradesh,Theft,2014,872
Arunachal Pradesh,Burglary,2015,119
Arunachal Pradesh,Dacoity,2015,0
Arunachal Pradesh,Dowry Deaths,2015,3
Arunachal Pradesh,Kidnapping & Abduction,2015,80
Arunachal Pradesh,Murder,2015,0
Arunachal Pradesh,Rape,2015,26
Arunachal Pradesh,Riots,2015,68
Arunachal Pradesh,Robbery,2015,47
Arunachal Pradesh,Theft,2015,909
Arunachal Pradesh,Burglary,2016,243
Arunachal Pradesh,Dacoity,2016,9
Arunachal Pradesh,Dowry Deaths,2016,4
Arunachal Pradesh,Kidnapping & Abduction,2016,100
Arunachal Pradesh,Murder,2016,26
Arunachal Pradesh,Rape,2016,33
Arunachal Pradesh,Riots,2016,65
Arunachal Pradesh,Robbery,2016,38
Arunachal Pradesh,Theft,2016,703
Arunachal Pradesh,Burglary,2017,185
Arunachal Pradesh,Dacoity,2017,0
Arunachal Pradesh,Dowry Deaths,2017,21
Arunachal Pradesh,Kidnapping & Abduction,2017,108
Arunachal Pradesh,Murder,2017,0
Arunachal Pradesh,Rape,2017,65
Arunachal Pradesh,Riots,2017,58
Arunachal Pradesh,Robbery,2017,33
Arunachal Pradesh,Theft,2017,739
Arunachal Pradesh,Burglary,2018,192
Arunachal Pradesh,Dacoity,2018,0
Arunachal Pradesh,Dowry Deaths,2018,0
Arunachal Pradesh,Kidnapping & Abduction,2018,73
Arunachal Pradesh,Murder,2018,35
Arunachal Pradesh,Rape,2018,19
Arunachal Pradesh,Riots,2018,63
Arunachal Pradesh,Robbery,2018,16
Arunachal Pradesh,Theft,2018,1410
Arunachal Pradesh,Burglary,2019,144
Arunachal Pradesh,Dacoity,2019,0
Arunachal Pradesh,Dowry Deaths,2019,0
Arunachal Pradesh,Kidnapping & Abduction,2019,146
Arunachal Pradesh,Murder,2019,0
Arunachal Pradesh,Rape,2019,59
Arunachal Pradesh,Riots,2019,44
Arunachal Pradesh,Robbery,2019,25
Arunachal Pradesh,Theft,2019,666
Arunachal Pradesh,Burglary,2020,152
Arunachal Pradesh,Dacoity,2020,33
Arunachal Pradesh,Dowry Deaths,2020,16
Arunachal Pradesh,Kidnapping & Abduction,2020,96
Arunachal Pradesh,Murder,2020,22
Arunachal Pradesh,Rape,2020,9
Arunachal Pradesh,Riots,2020,79
Arunachal Pradesh,Robbery,2020,66
Arunachal Pradesh,Theft,2020,545
Arunachal Pradesh,Burglary,2021,343
Arunachal Pradesh,Dacoity,2021,0
Arunachal Pradesh,Dowry Deaths,2021,0
Arunachal Pradesh,Kidnapping & Abduction,2021,56
Arunachal Pradesh,Murder,2021,21
Arunachal Pradesh,Rape,2021,29
Arunachal Pradesh,Riots,2021,94
Arunachal Pradesh,Robbery,2021,9
Arunachal Pradesh,Theft,2021,1678
Arunachal Pradesh,Burglary,2022,144
Arunachal Pradesh,Dacoity,2022,6
Arunachal Pradesh,Dowry Deaths,2022,0
Arunachal Pradesh,Kidnapping & Abduction,2022,101
Arunachal Pradesh,Murder,2022,16
Arunachal Pradesh,Rape,2022,94
Arunachal Pradesh,Riots,2022,120
Arunachal Pradesh,Robbery,2022,13
Arunachal Pradesh,Theft,2022,1233
Assam,Burglary,2001,4823
Assam,Dacoity,2001,62
Assam,Dowry Deaths,2001,140
Assam,Kidnapping & Abduction,2001,3134
Assam,Murder,2001,1191
Assam,Rape,2001,569
Assam,Riots,2001,643
Assam,Robbery,2001,937
Assam,Theft,2001,24926
Assam,Burglary,2002,2260
Assam,Dacoity,2002,40
Assam,Dowry Deaths,2002,450
Assam,Kidnapping & Abduction,2002,1262
Assam,Murder,2002,3263
Assam,Rape,2002,1070
Assam,Riots,2002,362
Assam,Robbery,2002,1363
Assam,Theft,2002,14041
Assam,Burglary,2003,2890
Assam,Dacoity,2003,25
Assam,Dowry Deaths,2003,0
Assam,Kidnapping & Abduction,2003,2021
Assam,Murder,2003,997
Assam,Rape,2003,877
Assam,Riots,2003,732
Assam,Robbery,2003,416
Assam,Theft,2003,11638
Assam,Burglary,2004,4919
Assam,Dacoity,2004,44
Assam,Dowry Deaths,2004,213
